modified_index,P-JW1-FRI,P-JW2-FRI,P-JW3-FRI,P-JW4-FRI,P-FW1-FRI,P-FW2-FRI,P-FW3-FRI,Euclidean Barycenter
00:00:00,2973.446,2722.92,2972.369,2889.45,2268.783,3000.651,3001.912,2832.7901428571427
00:15:00,2887.63,2713.214,2974.052,2828.365,2224.854,2964.41,2927.982,2788.6438571428575
00:30:00,2817.67,2673.573,2871.585,2749.29,2201.484,2920.852,2889.92,2732.053428571429
00:45:00,2796.38,2650.744,2864.257,2759.222,2111.892,2846.574,2780.83,2687.1284285714282
01:00:00,2775.842,2587.968,2807.604,2676.373,2109.108,2785.212,2720.138,2637.4635714285714
01:15:00,2715.308,2589.223,2766.959,2690.353,2039.422,2733.211,2693.203,2603.954142857143
01:30:00,2692.112,2569.223,2700.929,2592.028,2063.657,2713.9,2664.684,2570.933285714286
01:45:00,2596.159,2556.903,2712.244,2569.865,2011.487,2665.519,2638.2,2535.7681428571427
02:00:00,2644.549,2534.152,2643.831,2526.556,1992.707,2663.367,2597.982,2514.734857142857
02:15:00,2591.932,2533.377,2637.679,2523.104,1969.247,2627.343,2591.175,2496.2652857142853
02:30:00,2573.768,2501.344,2556.32,2480.093,1944.132,2617.653,2532.257,2457.9381428571432
02:45:00,2544.504,2502.429,2598.707,2464.047,1916.47,2553.381,2549.962,2447.0714285714284
03:00:00,2538.038,2452.367,2545.602,2481.809,1950.219,2582.447,2487.381,2433.9804285714285
03:15:00,2533.32,2475.196,2519.373,2449.192,1889.393,2542.077,2495.513,2414.8662857142854
03:30:00,2485.248,2419.933,2486.824,2423.362,1927.462,2518.14,2484.508,2392.211
03:45:00,2480.013,2424.478,2453.378,2387.359,1898.722,2513.105,2495.227,2378.8974285714285
04:00:00,2475.206,2365.64,2450.645,2442.415,1939.802,2498.4,2469.618,2377.389428571428
04:15:00,2490.971,2390.704,2458.474,2362.66,1878.918,2530.533,2484.703,2370.994714285714
04:30:00,2511.554,2454.981,2496.078,2409.888,1920.4,2499.304,2525.355,2402.5085714285715
04:45:00,2527.352,2463.881,2522.316,2479.557,1968.759,2541.761,2536.986,2434.373142857143
05:00:00,2509.339,2519.276,2563.774,2458.994,1987.02,2564.157,2568.502,2453.0088571428573
05:15:00,2613.118,2531.489,2599.329,2525.084,1955.913,2564.407,2578.276,2481.088
05:30:00,2644.937,2615.325,2635.841,2574.281,2029.407,2643.632,2645.111,2541.2191428571423
05:45:00,2670.021,2604.284,2711.13,2691.855,2041.809,2698.697,2699.176,2588.1388571428574
06:00:00,2709.304,2720.673,2786.902,2682.774,2141.003,2759.879,2755.737,2650.896
06:15:00,2797.605,2771.847,2764.926,2743.834,2137.598,2757.302,2784.643,2679.6792857142855
06:30:00,2776.61,2725.684,2776.546,2747.379,2046.844,2832.409,2749.157,2664.947
06:45:00,2855.953,2842.151,2751.417,2723.192,2111.423,2782.002,2768.9,2690.7197142857144
07:00:00,2793.763,2849.697,2775.812,2735.074,2203.147,2802.24,2760.799,2702.933142857143
07:15:00,2780.396,2848.984,2831.751,2780.919,2150.603,2864.378,2860.321,2731.050285714286
07:30:00,2900.349,2940.568,2832.298,2792.686,2215.882,2857.44,2825.959,2766.454571428571
07:45:00,2939.707,2913.594,2868.731,2808.808,2207.746,2842.967,2830.481,2773.1477142857143
08:00:00,2981.66,2889.493,2814.314,2846.142,2088.816,2829.259,2797.756,2749.634285714286
08:15:00,3072.819,2925.766,2968.819,2962.028,2163.353,2942.766,2962.812,2856.9089999999997
08:30:00,3100.078,2967.199,3011.86,3051.919,2181.172,3105.822,3056.855,2924.986428571429
08:45:00,3176.45,3018.02,3129.406,3105.591,2193.79,3179.527,3126.693,2989.9252857142856
09:00:00,3275.087,3132.921,3150.325,3154.746,2219.419,3208.452,3162.351,3043.328714285714
09:15:00,3265.434,3203.102,3170.913,3180.91,2225.786,3272.944,3275.638,3084.961
09:30:00,3289.091,3200.944,3275.385,3226.645,2246.754,3255.268,3320.473,3116.365714285714
09:45:00,3325.581,3289.038,3309.074,3218.667,2279.998,3371.761,3336.651,3161.538571428571
10:00:00,3351.11,3327.954,3350.216,3238.365,2328.288,3428.688,3354.36,3196.9972857142857
10:15:00,3409.257,3341.14,3389.274,3334.072,2302.155,3452.96,3394.176,3231.862
10:30:00,3460.671,3406.191,3404.906,3438.896,2331.793,3499.791,3401.204,3277.636
10:45:00,3509.276,3386.917,3347.974,3430.842,2358.96,3518.526,3419.898,3281.770428571429
11:00:00,3540.679,3458.858,3408.609,3476.452,2361.375,3636.287,3483.292,3337.9360000000006
11:15:00,3567.444,3450.009,3398.339,3481.719,2362.456,3654.077,3527.615,3348.8084285714285
11:30:00,3611.13,3453.028,3470.218,3509.069,2291.854,3705.829,3560.484,3371.6588571428574
11:45:00,3599.967,3460.906,3463.403,3474.382,2232.967,3733.93,3591.637,3365.313142857143
12:00:00,3623.672,3503.325,3486.605,3478.254,2071.348,3723.329,3597.121,3354.807714285714
12:15:00,3697.772,3502.842,3413.986,3511.707,2052.08,3664.544,3557.967,3342.985428571428
12:30:00,3694.943,3549.203,3369.425,3550.658,1978.091,3732.365,3547.697,3346.0545714285713
12:45:00,3651.882,3556.706,3390.042,3569.891,1952.137,3723.07,3522.916,3338.092
13:00:00,3594.063,3557.773,3465.173,3489.081,1904.686,3695.819,3553.387,3322.8545714285715
13:15:00,3594.96,3554.879,3459.942,3484.641,1877.632,3717.146,3508.102,3313.900285714285
13:30:00,3549.121,3542.74,3489.638,3462.979,1883.188,3705.6,3509.143,3306.0584285714285
13:45:00,3556.736,3578.492,3485.937,3533.362,1869.328,3730.655,3520.434,3324.9920000000006
14:00:00,3608.458,3628.373,3511.946,3547.28,1867.607,3749.091,3566.166,3354.1315714285715
14:15:00,3537.559,3489.011,3505.599,3535.806,1906.503,3800.888,3537.953,3330.4741428571433
14:30:00,3566.621,3524.799,3604.319,3539.418,1915.087,3779.892,3505.148,3347.8977142857143
14:45:00,3598.548,3498.991,3597.121,3539.39,1926.183,3738.557,3587.749,3355.219857142857
15:00:00,3648.754,3630.298,3564.966,3528.13,1891.741,3741.281,3595.214,3371.4834285714287
15:15:00,3579.403,3554.834,3548.99,3576.04,1884.107,3642.947,3630.474,3345.2564285714284
15:30:00,3628.198,3547.756,3486.157,3577.966,1864.187,3630.409,3653.657,3341.19
15:45:00,3643.595,3509.016,3531.645,3601.761,1854.952,3633.141,3650.956,3346.4379999999996
16:00:00,3675.912,3467.613,3502.274,3560.436,1900.973,3612.478,3620.824,3334.3585714285714
16:15:00,3625.253,3411.411,3462.354,3481.767,1849.994,3571.182,3572.916,3282.125285714286
16:30:00,3585.258,3352.678,3394.803,3414.577,1847.509,3408.79,3447.301,3207.273714285714
16:45:00,3433.86,3262.901,3313.45,3358.441,1875.47,3269.281,3222.423,3105.1179999999995
17:00:00,3277.934,3161.405,3200.682,3240.752,1881.291,3198.658,3147.607,3015.4755714285716
17:15:00,3199.098,3118.828,3083.456,3109.976,1880.436,3094.082,3055.075,2934.4215714285715
17:30:00,3158.148,3096.452,2998.601,3143.08,1871.397,3062.213,3049.102,2911.284714285714
17:45:00,3149.439,3035.888,3002.352,3152.787,2358.272,3023.697,3040.298,2966.104714285714
18:00:00,3296.19,3137.791,3081.64,3239.349,2719.824,3075.287,3172.98,3103.2944285714284
18:15:00,3427.448,3251.79,3245.906,3329.352,2778.617,3166.964,3270.024,3210.014428571428
18:30:00,3552.746,3447.542,3421.964,3554.312,2948.353,3329.399,3474.426,3389.820285714286
18:45:00,3620.012,3509.329,3451.64,3769.127,3136.843,3581.618,3689.109,3536.811142857143
19:00:00,3614.287,3543.383,3513.86,3776.43,3142.473,3606.175,3788.64,3569.3211428571426
19:15:00,3609.724,3521.716,3464.917,3766.771,3161.76,3640.439,3780.524,3563.6929999999998
19:30:00,3642.88,3559.83,3495.442,3727.412,3216.077,3657.327,3849.484,3592.636
19:45:00,3673.254,3598.433,3518.509,3639.996,3230.007,3683.698,3858.321,3600.3168571428573
20:00:00,3729.895,3552.578,3542.578,3627.689,3193.094,3644.168,3850.93,3591.5617142857145
20:15:00,3739.279,3520.073,3509.259,3530.943,3155.207,3625.698,3808.812,3555.610142857143
20:30:00,3739.719,3616.189,3520.631,3561.389,3166.428,3620.979,3854.873,3582.886857142857
20:45:00,3723.595,3616.513,3604.823,3569.862,3184.365,3583.739,3811.236,3584.876142857144
21:00:00,3685.524,3580.312,3560.184,3499.002,3201.699,3513.192,3776.155,3545.1525714285713
21:15:00,3661.684,3504.293,3496.52,3509.998,3209.688,3466.38,3784.25,3518.973285714286
21:30:00,3700.463,3542.23,3441.327,3500.976,3174.165,3457.0,3805.142,3517.329
21:45:00,3639.228,3505.304,3397.834,3510.891,3143.925,3446.679,3696.223,3477.1548571428575
22:00:00,3557.938,3414.197,3420.822,3475.002,3181.172,3394.62,3656.592,3442.906142857143
22:15:00,3577.513,3439.549,3311.428,3352.375,3134.07,3292.533,3523.115,3375.7975714285712
22:30:00,3539.286,3334.127,3256.212,3192.554,3064.247,3327.531,3516.49,3318.6352857142856
22:45:00,3312.257,3246.13,3150.631,3098.667,3019.87,3217.709,3360.807,3200.8672857142856
23:00:00,3303.048,3183.747,3125.027,3113.472,2954.993,3185.425,3319.963,3169.3821428571428
23:15:00,3206.821,3170.213,3150.12,3025.615,2884.458,3078.406,3231.179,3106.6874285714284
23:30:00,3176.438,3101.932,3066.338,2951.658,2869.913,3087.139,3143.64,3056.7225714285714
23:45:00,3129.727,3072.321,2989.131,2957.943,2807.905,3025.148,3153.885,3019.4371428571426
