modified_index,Q-JW1-WED,Q-JW2-WED,Q-JW3-WED,Q-JW4-WED,F-JW1-WED,F-JW2-WED,F-JW3-WED,F-JW4-WED,Euclidean Barycenter
00:00:00,423.753,213.019,343.057,274.091,101.63,385.298,396.148,368.064,313.1325
00:15:00,400.81,232.142,300.703,281.022,71.474,371.004,394.041,374.086,303.16025
00:30:00,348.462,219.884,323.869,269.383,76.4,415.49,400.063,395.952,306.18787499999996
00:45:00,373.754,213.008,325.593,291.538,74.531,384.487,383.512,404.761,306.398
01:00:00,344.136,228.968,332.41,257.719,65.778,375.403,392.44,380.806,297.20750000000004
01:15:00,363.053,195.0,290.918,288.004,49.981,392.902,361.361,360.702,287.74012500000003
01:30:00,342.942,202.031,299.987,252.759,46.291,359.181,378.723,404.756,285.83375
01:45:00,335.671,200.89,321.38,242.297,68.552,386.988,370.851,387.499,289.26599999999996
02:00:00,340.802,185.952,311.61,252.671,46.322,372.834,352.264,315.814,272.283625
02:15:00,312.423,196.68,310.527,256.977,28.826,350.741,345.554,324.84,265.821
02:30:00,326.318,184.042,295.357,236.497,27.739,372.079,315.652,322.203,259.985875
02:45:00,324.194,196.209,287.712,252.079,62.308,342.471,338.702,315.111,264.84825
03:00:00,330.798,190.151,264.937,227.524,27.366,366.456,339.211,288.319,254.34525
03:15:00,345.998,185.591,286.417,272.609,45.498,338.704,324.694,303.479,262.87375
03:30:00,323.554,193.49,257.3,235.737,21.616,354.75,315.37,293.89,249.46337499999998
03:45:00,327.497,178.461,284.59,251.7,53.654,358.686,321.43,297.678,259.212
04:00:00,325.122,193.731,260.487,255.886,5.988,343.329,334.547,303.792,252.86025
04:15:00,326.966,148.45,280.33,237.39,17.504,361.872,325.672,310.122,251.03825
04:30:00,338.898,183.841,297.536,232.61,25.36,346.444,329.491,318.329,259.063625
04:45:00,317.379,170.962,278.931,246.998,19.113,356.116,314.027,300.622,250.51850000000002
05:00:00,297.389,152.438,276.481,238.893,53.233,319.306,334.982,306.693,247.426875
05:15:00,309.552,170.967,244.161,212.757,-4.4,296.797,330.538,281.084,230.18200000000004
05:30:00,327.364,134.653,257.453,246.98,-7.11,298.307,300.924,284.379,230.36874999999998
05:45:00,338.909,158.953,242.783,248.948,-14.952,290.902,314.382,289.687,233.7015
06:00:00,308.454,164.989,281.292,253.789,0.819,296.613,317.306,305.621,241.11037499999998
06:15:00,306.557,159.92,248.168,242.906,-40.998,276.578,396.954,348.952,242.37962499999998
06:30:00,290.43,131.798,242.89,178.957,-33.31,280.818,325.204,338.157,219.36799999999997
06:45:00,282.641,137.826,214.883,174.308,-7.202,247.938,311.466,312.001,209.232625
07:00:00,329.146,144.084,205.012,152.431,-21.532,268.069,270.576,301.528,206.16425
07:15:00,360.828,168.127,250.612,208.918,-12.114,248.484,275.579,335.737,229.52137499999998
07:30:00,359.097,225.001,267.079,207.714,1.382,304.447,366.009,356.481,260.90125
07:45:00,416.937,210.008,317.242,247.296,-9.709,294.839,396.85,373.226,280.83612500000004
08:00:00,477.144,290.557,353.466,318.13,65.772,344.018,417.041,381.557,330.96062500000005
08:15:00,499.551,296.103,429.011,427.88,64.314,374.459,439.563,429.168,370.00612500000005
08:30:00,558.346,421.299,478.138,468.386,95.364,389.183,467.781,430.65,413.643375
08:45:00,592.782,511.862,571.847,502.832,106.879,395.467,559.689,489.946,466.41299999999995
09:00:00,608.882,568.828,578.878,474.987,136.47,420.379,568.4,548.989,488.226625
09:15:00,603.626,552.066,610.483,496.57,143.911,418.377,615.492,579.831,502.54449999999997
09:30:00,631.23,609.461,627.403,524.694,180.8,403.157,623.661,579.286,522.4615
09:45:00,615.637,598.549,626.73,623.559,203.862,408.867,606.096,586.16,533.6825
10:00:00,619.606,579.089,630.022,605.06,209.386,422.272,616.166,581.826,532.928375
10:15:00,592.972,575.302,629.454,606.926,213.934,418.08,595.954,604.623,529.6556250000001
10:30:00,604.129,589.904,638.616,618.968,218.879,375.897,659.324,641.547,543.4079999999999
10:45:00,595.044,580.729,633.058,615.836,220.539,351.496,656.698,651.099,538.062375
11:00:00,664.754,611.722,625.758,623.51,191.85,429.527,674.503,661.454,560.38475
11:15:00,636.398,602.244,609.396,627.19,200.422,438.742,625.962,721.84,557.77425
11:30:00,634.333,661.362,616.74,616.184,216.576,448.61,621.246,676.813,561.483
11:45:00,605.109,667.483,611.738,614.97,200.281,538.868,645.296,658.619,567.7955
12:00:00,598.187,662.766,590.429,608.757,215.004,604.637,656.12,688.859,578.094875
12:15:00,599.153,665.841,601.504,639.196,223.126,629.378,643.788,657.092,582.38475
12:30:00,618.732,663.143,602.411,657.85,227.263,640.85,643.129,653.18,588.31975
12:45:00,600.122,667.13,626.063,661.418,233.459,706.254,646.727,664.188,600.670125
13:00:00,628.614,648.791,646.44,681.189,228.898,813.904,662.873,682.64,624.1686250000001
13:15:00,601.93,659.229,645.172,681.021,236.709,812.904,657.95,668.184,620.387375
13:30:00,604.4,655.767,620.287,677.764,219.331,835.339,647.384,682.517,617.848625
13:45:00,619.136,681.221,613.331,666.881,230.308,832.884,667.91,701.851,626.69025
14:00:00,617.657,677.472,606.212,678.178,226.192,844.777,644.239,691.721,623.306
14:15:00,580.18,704.243,624.118,678.131,225.237,859.32,634.752,675.366,622.668375
14:30:00,584.694,685.441,616.608,709.82,230.776,808.592,641.028,702.336,622.411875
14:45:00,555.084,693.488,626.672,701.582,232.64,690.664,666.61,742.064,613.6005
15:00:00,560.748,694.17,593.261,713.946,218.28,708.074,657.551,703.977,606.2508750000001
15:15:00,580.631,696.24,571.112,699.388,217.536,778.536,638.653,691.652,609.2185000000001
15:30:00,581.961,686.078,560.488,668.03,212.703,769.784,649.161,669.204,599.676125
15:45:00,601.982,688.07,573.622,661.35,208.714,757.363,657.207,674.434,602.84275
16:00:00,594.629,669.068,578.493,681.854,204.629,718.271,616.398,646.629,588.746375
16:15:00,560.96,659.9,572.503,659.063,213.058,709.921,586.913,622.93,573.1560000000001
16:30:00,553.429,569.759,547.634,636.711,196.071,699.57,584.453,558.614,543.280125
16:45:00,507.362,457.331,501.961,571.616,181.087,546.411,501.482,525.44,474.08625
17:00:00,498.754,424.24,484.012,453.893,175.286,523.241,504.011,516.174,447.45137500000004
17:15:00,475.994,397.32,464.51,425.467,184.77,495.744,465.437,485.342,424.32300000000004
17:30:00,470.378,400.489,423.79,413.491,168.24,411.941,448.388,450.256,398.37162499999994
17:45:00,465.943,361.577,367.669,395.12,132.366,366.407,369.259,416.697,359.37975
18:00:00,493.087,377.283,377.304,388.7,111.853,353.14,368.91,418.622,361.112375
18:15:00,523.922,414.947,378.842,388.63,124.487,341.771,344.314,404.303,365.152
18:30:00,504.682,416.439,406.168,403.254,164.562,375.829,383.73,449.199,387.98287500000004
18:45:00,505.708,419.172,398.273,394.973,179.599,396.051,429.041,489.232,401.50612500000005
19:00:00,489.353,433.613,397.943,418.147,179.804,405.73,434.493,504.679,407.97025
19:15:00,484.509,425.096,365.067,411.673,166.526,404.638,404.787,484.851,393.393375
19:30:00,493.163,433.408,368.902,407.47,167.521,401.632,423.409,500.642,399.518375
19:45:00,478.549,404.102,327.209,406.494,173.266,418.644,439.523,519.181,395.87100000000004
20:00:00,489.547,396.262,349.967,390.177,149.698,407.891,365.117,505.77,381.803625
20:15:00,479.028,390.748,332.669,403.433,172.891,421.707,380.571,490.547,383.94925
20:30:00,487.554,394.911,335.764,401.837,146.199,417.476,437.396,490.896,389.00412500000004
20:45:00,492.336,442.461,311.718,409.346,93.234,417.747,474.807,502.86,393.06362500000006
21:00:00,491.896,421.867,292.9,443.126,87.467,404.954,485.578,501.69,391.18475
21:15:00,491.079,406.907,298.514,422.539,91.897,414.782,440.007,464.429,378.76925
21:30:00,534.34,351.268,315.109,441.106,105.67,396.942,460.357,466.732,383.9405
21:45:00,400.92,298.252,282.763,455.672,73.476,379.093,476.372,477.753,355.53762500000005
22:00:00,409.977,316.351,300.626,370.606,120.289,392.073,451.072,433.428,349.30275
22:15:00,400.442,321.308,286.659,381.984,75.987,360.822,411.903,439.208,334.78912500000007
22:30:00,378.818,336.334,320.302,391.429,91.943,400.752,434.439,440.364,349.29762500000004
22:45:00,404.43,304.25,280.641,389.877,93.789,398.49,405.966,441.368,339.851375
23:00:00,366.429,310.644,297.621,351.977,99.389,397.273,399.441,425.429,331.02537499999994
23:15:00,360.604,298.35,299.601,399.221,87.237,291.534,422.924,414.508,321.747375
23:30:00,351.537,329.879,305.619,296.683,95.076,312.369,381.232,404.598,309.624125
23:45:00,369.301,293.244,299.114,298.236,86.042,295.899,374.766,413.246,303.731
