modified_index,Q-JW1-SUN,Q-JW2-SUN,Q-JW3-SUN,Q-JW4-SUN,Euclidean Barycenter
00:00:00,402.802,259.804,294.121,99.186,263.97825
00:15:00,370.39,281.088,301.512,96.046,262.259
00:30:00,357.739,246.048,281.352,75.468,240.15175
00:45:00,342.494,276.529,270.501,78.414,241.9845
01:00:00,353.34,264.892,287.377,67.282,243.22275
01:15:00,335.564,267.37,285.564,78.347,241.71125
01:30:00,376.569,284.557,277.817,73.837,253.195
01:45:00,343.699,239.073,264.692,79.864,231.83200000000002
02:00:00,331.451,266.73,298.842,83.269,245.073
02:15:00,315.417,260.786,245.912,37.791,214.9765
02:30:00,333.512,260.926,274.776,55.948,231.29049999999998
02:45:00,335.866,237.047,275.616,77.162,231.42275
03:00:00,330.876,220.13,253.712,59.701,216.10475
03:15:00,318.433,249.848,284.204,58.692,227.79424999999998
03:30:00,322.093,221.31,257.912,43.584,211.22475000000003
03:45:00,333.076,234.18,275.383,61.359,225.99950000000004
04:00:00,308.189,253.536,237.957,32.648,208.0825
04:15:00,343.747,228.302,260.694,52.474,221.30425
04:30:00,306.853,226.41,223.987,61.761,204.75275
04:45:00,322.659,210.097,243.71,42.534,204.75
05:00:00,329.291,217.551,255.263,42.239,211.086
05:15:00,297.224,225.71,216.63,8.928,187.123
05:30:00,308.454,246.184,252.59,87.747,223.74375
05:45:00,314.696,210.636,238.727,4.559,192.15449999999998
06:00:00,319.142,214.628,234.626,34.998,200.8485
06:15:00,265.368,235.973,239.588,-17.389,180.885
06:30:00,235.716,142.947,193.353,-27.917,136.02475
06:45:00,241.904,97.522,178.432,-36.194,120.41599999999998
07:00:00,235.649,83.864,163.866,-19.792,115.89675
07:15:00,250.146,126.111,175.25,-36.646,128.71525000000003
07:30:00,251.914,117.023,189.522,-19.714,134.68625000000003
07:45:00,285.233,136.17,195.926,-19.498,149.45774999999998
08:00:00,282.66,147.298,201.592,-0.588,157.74050000000003
08:15:00,309.208,154.176,255.312,26.468,186.291
08:30:00,343.13,190.291,313.266,42.719,222.35150000000004
08:45:00,351.489,220.11,302.369,51.868,231.459
09:00:00,348.944,218.777,310.741,47.984,231.6115
09:15:00,327.1,226.092,291.659,69.501,228.588
09:30:00,334.384,240.557,323.746,62.099,240.19650000000001
09:45:00,333.038,267.392,314.111,77.904,248.11125
10:00:00,365.694,274.192,307.179,86.56,258.40625
10:15:00,440.963,313.224,349.879,92.529,299.14875
10:30:00,424.456,310.473,358.271,97.48,297.67
10:45:00,426.118,294.198,365.919,129.699,303.98350000000005
11:00:00,421.589,279.144,338.382,63.051,275.5415
11:15:00,434.824,316.958,385.016,140.032,319.2075
11:30:00,471.308,312.816,365.031,205.507,338.6655
11:45:00,456.674,362.657,358.759,210.349,347.10974999999996
12:00:00,465.338,354.281,352.327,180.428,338.09349999999995
12:15:00,461.91,344.332,353.42,185.523,336.29625
12:30:00,459.807,345.276,368.799,199.774,343.414
12:45:00,468.972,350.243,395.71,193.833,352.1895
13:00:00,478.273,351.768,395.177,170.831,349.01224999999994
13:15:00,470.996,375.0,383.549,168.752,349.57425
13:30:00,475.304,349.692,362.244,193.702,345.2355
13:45:00,499.781,359.107,366.836,186.474,353.0495
14:00:00,507.554,361.357,369.994,201.061,359.99150000000003
14:15:00,490.132,352.42,374.564,205.312,355.60699999999997
14:30:00,472.897,368.594,364.911,196.179,350.64525000000003
14:45:00,488.399,372.342,345.551,212.509,354.70025
15:00:00,468.193,375.771,336.554,208.534,347.26300000000003
15:15:00,467.522,355.614,335.978,188.263,336.84425
15:30:00,471.759,367.407,386.397,204.397,357.48999999999995
15:45:00,476.061,337.979,394.484,215.358,355.97049999999996
16:00:00,488.041,327.326,408.731,188.011,353.02725
16:15:00,474.592,346.871,385.331,186.881,348.41875
16:30:00,466.902,347.049,405.159,183.947,350.76425000000006
16:45:00,465.122,327.248,389.534,170.697,338.15025
17:00:00,442.412,315.858,378.444,173.186,327.47499999999997
17:15:00,430.997,302.521,385.364,177.066,323.987
17:30:00,430.988,333.328,385.769,193.858,335.98575
17:45:00,422.866,317.208,365.632,68.766,293.61800000000005
18:00:00,398.358,318.019,359.626,73.844,287.46175
18:15:00,444.78,329.952,349.276,85.342,302.33750000000003
18:30:00,477.471,376.908,401.939,123.396,344.9285
18:45:00,454.472,420.359,375.71,170.608,355.28725
19:00:00,460.492,445.477,397.909,182.753,371.65775
19:15:00,457.816,420.409,392.612,148.544,354.84525
19:30:00,448.512,418.549,400.103,154.13,355.32349999999997
19:45:00,462.004,443.526,402.796,161.981,367.57675
20:00:00,473.428,410.326,385.712,155.73,356.299
20:15:00,464.427,429.347,406.206,156.61,364.14750000000004
20:30:00,476.657,414.279,381.573,133.323,351.458
20:45:00,467.168,440.458,417.39,150.078,368.7735
21:00:00,450.621,417.621,433.113,165.049,366.601
21:15:00,431.254,415.667,398.143,154.566,349.9075
21:30:00,459.503,389.22,343.352,147.353,334.85699999999997
21:45:00,451.38,383.836,355.394,76.352,316.74050000000005
22:00:00,456.223,299.94,328.891,100.063,296.27925000000005
22:15:00,450.148,276.89,344.738,83.997,288.94325000000003
22:30:00,420.122,276.558,326.581,72.274,273.88375
22:45:00,429.668,257.098,325.916,93.747,276.60725
23:00:00,457.388,253.244,335.619,67.472,278.43075
23:15:00,430.252,247.542,298.669,81.198,264.41525
23:30:00,448.362,282.713,299.599,91.14,280.4535
23:45:00,426.859,276.712,306.109,62.672,268.08799999999997
