,JFRI-1:P_TOTAL_SJN,JFRI-2:P_TOTAL_SJN,JFRI-3:P_TOTAL_SJN,JFRI-4:P_TOTAL_SJN
00:00:00,13021.783,12435.938,13144.289,12809.756
00:15:00,12742.193,12313.23,12888.903,12559.645
00:30:00,12649.133,12223.479,12674.377,12385.375
00:45:00,12498.758,11968.917,12532.87,12213.371
01:00:00,12430.347,11881.385,12337.531,12034.547
01:15:00,12245.03,11856.862,12166.235,12020.454
01:30:00,12187.877,11681.321,12031.336,11783.438
01:45:00,11951.986,11668.142,11962.564,11605.822
02:00:00,11769.39,11646.225,11797.364,11481.953
02:15:00,11642.211,11423.43,11723.889,11372.813
02:30:00,11640.223,11418.203,11519.005,11243.574
02:45:00,11414.515,11344.19,11462.938,11242.225
03:00:00,11472.628,11292.199,11377.786,11128.333
03:15:00,11390.806,11191.458,11310.255,11000.136
03:30:00,11307.155,11203.209,11433.218,10983.787
03:45:00,11273.985,11070.08,11174.74,11058.982
04:00:00,11333.313,11067.702,11321.804,11015.653
04:15:00,11314.499,11095.55,11371.474,11005.494
04:30:00,11507.73,11313.613,11371.405,11174.498
04:45:00,11671.158,11476.156,11509.758,11402.917
05:00:00,11940.449,11701.029,11746.656,11715.982
05:15:00,12187.251,12168.945,12322.954,11877.375
05:30:00,12643.988,12540.512,12497.438,12411.71
05:45:00,12753.621,12891.935,12899.307,12763.139
06:00:00,12998.037,13096.538,13016.143,12956.213
06:15:00,13172.307,13222.835,13290.23,12909.522
06:30:00,13199.978,13260.304,13009.694,12757.751
06:45:00,13021.644,13120.752,12997.241,12740.692
07:00:00,12941.519,13315.649,13092.49,12608.317
07:15:00,13003.223,13170.49,13070.674,12604.1
07:30:00,12923.262,13088.708,12920.876,12575.608
07:45:00,12893.377,12856.444,12784.458,12429.193
08:00:00,12984.685,12920.965,13027.977,12646.699
08:15:00,13131.996,12944.156,12935.132,12887.868
08:30:00,13308.406,13097.501,13194.952,13158.809
08:45:00,13550.269,13260.317,13226.774,13435.02
09:00:00,13632.416,13738.911,13527.111,13653.821
09:15:00,13823.93,13811.637,13586.696,13757.488
09:30:00,14093.229,13952.799,13776.329,13767.454
09:45:00,14199.3,14131.487,13858.33,13935.084
10:00:00,14257.389,14111.96,14066.735,14001.993
10:15:00,14447.102,14346.912,14018.825,14399.123
10:30:00,14509.323,14504.349,14307.51,14542.609
10:45:00,14614.419,14646.429,14158.429,14534.811
11:00:00,14792.963,14598.494,14409.211,14635.696
11:15:00,14940.498,14654.877,14512.468,14674.029
11:30:00,15224.132,14828.491,14625.241,14678.72
11:45:00,15039.92,14895.553,14562.901,14595.099
12:00:00,15309.458,14950.478,14610.959,14803.081
12:15:00,15154.74,14742.451,14227.661,14776.543
12:30:00,15270.165,15074.024,14327.061,14832.347
12:45:00,15135.028,15008.96,14481.199,14741.917
13:00:00,15176.051,15133.725,14623.916,14855.628
13:15:00,15129.485,15130.683,14666.247,14820.42
13:30:00,15032.983,15158.945,14629.835,14993.808
13:45:00,15243.69,15211.391,14824.021,15011.748
14:00:00,15084.87,15078.687,14801.345,15070.991
14:15:00,14933.156,14986.207,14735.372,14932.55
14:30:00,15178.088,15097.165,14773.875,15024.709
14:45:00,15072.632,14925.414,14774.819,14997.046
15:00:00,14949.174,14952.568,14693.663,15080.806
15:15:00,14928.226,14899.081,14672.568,15124.944
15:30:00,14840.296,14798.974,14691.438,15169.3
15:45:00,15116.318,14832.272,14673.181,15044.577
16:00:00,15116.062,14754.843,14670.439,14969.83
16:15:00,14997.529,14612.254,14725.52,14740.785
16:30:00,14925.286,14432.182,14282.963,14667.312
16:45:00,14611.033,14389.955,13888.611,14387.83
17:00:00,14487.792,14242.036,14061.707,14320.187
17:15:00,14307.538,14099.548,13747.187,14352.029
17:30:00,14492.689,14171.054,13928.53,14337.635
17:45:00,14722.74,14415.029,14020.525,14360.766
18:00:00,15499.289,14712.493,14370.96,14641.168
18:15:00,16070.882,15570.806,15331.194,15307.897
18:30:00,16557.333,16290.11,16215.345,16297.85
18:45:00,16777.237,16624.648,16275.822,16775.701
19:00:00,16813.864,16670.416,16295.626,16949.462
19:15:00,16860.62,16665.278,16420.965,16933.546
19:30:00,17157.033,16710.554,16315.735,16786.988
19:45:00,17042.917,16678.695,16377.987,16786.401
20:00:00,17037.14,16351.457,16414.631,16531.975
20:15:00,16878.883,16558.403,16223.978,16413.298
20:30:00,16946.237,16268.424,16343.748,16340.095
20:45:00,16738.92,16033.52,16178.966,16183.669
21:00:00,16473.475,15918.877,15856.382,16060.292
21:15:00,16323.732,15703.195,15588.371,15725.649
21:30:00,16139.92,15390.289,15469.604,15557.613
21:45:00,16093.71,15268.96,15260.546,15430.007
22:00:00,15651.357,14919.18,15071.914,14993.219
22:15:00,15429.328,14836.29,14678.119,14473.619
22:30:00,15019.778,14414.436,14467.521,14106.868
22:45:00,14640.981,14229.562,14148.359,14139.731
23:00:00,14428.199,13876.04,14018.087,13806.24
23:15:00,13984.159,13731.489,13828.836,13602.296
23:30:00,13901.656,13445.96,13630.16,13350.839
23:45:00,13696.915,13155.267,13274.172,13179.936
