,P-FW1-SAT,P-FW2-SAT,P-FW3-SAT
0,11316.621,11364.335,11676.4
1,11107.074,11140.095,11264.786
2,10993.116,11128.996,11238.575
3,10866.769,10788.105,10946.247
4,10793.143,10666.735,10875.073
5,10607.726,10621.312,10660.283
6,10532.833,10497.288,10673.502
7,10448.994,10347.995,10388.596
8,10325.792,10281.118,10296.025
9,10233.389,10118.305,10228.874
10,10127.785,10166.948,10165.152
11,10103.37,10028.838,10113.42
12,10019.812,9938.106,10060.211
13,10099.167,9860.795,9951.753
14,9943.596,9811.396,9900.045
15,9999.55,9689.774,9937.789
16,9885.995,9697.473,9774.952
17,9839.019,9724.826,9835.768
18,9897.482,9681.736,9667.987
19,9908.923,9623.524,9689.082
20,9937.592,9615.592,9735.147
21,10037.679,9641.3,9810.54
22,10152.158,9679.036,9836.738
23,10212.904,9743.386,9985.898
24,10249.45,9837.402,9911.014
25,10084.48,9644.061,9702.042
26,9781.483,9270.47,9301.867
27,9814.072,9343.292,9342.992
28,9821.283,9471.794,9436.549
29,9895.373,9641.781,9730.278
30,10042.996,9797.401,9754.887
31,10246.853,10181.174,10229.039
32,10717.449,10554.916,10481.451
33,10999.397,10923.762,10935.646
34,10948.261,11209.471,11310.443
35,10912.206,11334.216,11445.247
36,11210.7,11538.996,11567.171
37,11345.841,11644.024,11767.95
38,11611.877,11871.886,11917.788
39,11688.703,11944.65,12103.025
40,11955.015,12210.166,12124.661
41,11901.068,12256.539,12471.126
42,12061.91,12379.791,12689.488
43,12171.089,12554.162,12522.705
44,12190.589,12409.051,12974.188
45,12366.487,12523.154,12970.92
46,12410.221,12701.943,13121.247
47,12339.145,12799.543,13074.256
48,12413.002,12736.495,13179.498
49,12431.651,12873.457,13026.568
50,12300.579,12839.27,13206.773
51,12436.532,12762.462,13173.657
52,12553.119,12992.606,13275.756
53,12312.167,12664.621,13281.715
54,12464.473,12755.178,13271.039
55,12338.929,12803.609,13239.453
56,12207.103,12618.031,13260.525
57,12377.192,12607.277,13019.797
58,12294.033,12654.867,13002.609
59,12219.884,12676.058,12980.424
60,12255.696,12606.847,13029.542
61,12128.925,12411.303,13108.609
62,12243.49,12563.501,13001.608
63,12223.954,12451.265,13010.399
64,12372.671,12265.545,12855.772
65,11954.244,12173.561,12728.114
66,11949.741,12297.466,12711.311
67,11950.449,12230.243,12747.787
68,12018.787,11959.611,12749.941
69,12002.82,12037.729,12517.871
70,12159.022,12019.825,12415.268
71,12144.52,12213.737,12401.707
72,12284.166,12277.235,12366.37
73,12670.94,12624.83,12741.751
74,13343.232,13097.052,13500.334
75,13672.379,13714.47,14077.14
76,13694.38,13808.088,14110.566
77,13850.646,13717.644,14038.716
78,14022.159,13949.749,14237.225
79,14054.875,13996.211,14072.718
80,13828.435,13919.938,13970.625
81,13793.091,13686.314,13806.169
82,13701.639,13736.33,13770.209
83,13403.692,13734.625,13965.706
84,13205.963,13361.098,13723.54
85,13177.387,13459.754,13640.066
86,13224.59,13296.772,13524.802
87,13114.836,13214.505,13186.994
88,13000.462,12969.36,13150.902
89,12708.618,12790.838,12906.793
90,12530.207,12538.789,12518.382
91,12401.864,12330.473,12278.583
92,12354.88,12236.686,12278.427
93,11956.427,11996.169,12029.969
94,11914.34,11833.993,11832.486
95,11608.074,11649.768,11631.144
